"단계","큰 작업","사용한 주요 커맨드","이유","결과"
"1","기존 KyuBoard 정리 및 레포 비우기","find . -mindepth 1 -maxdepth 1 ! -name '.git' -exec rm -rf {} +","기존 실험 흔적을 제거하고 프로젝트를 처음부터 다시 시작하기 위해","프로젝트 파일만 제거하고 git 메타데이터는 유지한 상태를 만들었음"
"2","레포 전체 파일 삭제 후 정리 커밋 생성","git rm -r -- . / git commit -m ""Delete Kyuboard Setup""","기존 세팅 자체를 레포 기록에서 정리하고 새 출발 가능한 상태를 남기기 위해","모든 추적 파일 삭제 커밋 생성, 레포 내용 정리 완료"
"3","새 프로젝트 시작 환경 확인","ls -la / git status --short / git remote -v","현재 폴더 상태와 git 연결 여부를 확인하기 위해","빈 작업 디렉터리와 원격 레포 상태를 확인했음"
"4","Next.js 프로젝트 재생성","npx create-next-app@latest .","KyuBoard를 새 구조로 다시 시작하기 위한 기본 앱 스캐폴드 생성","Next.js App Router 기반 기본 프로젝트 생성"
"5","기본 실행 및 설치 확인","npm run dev / npm ls next react react-dom --depth=0","프로젝트가 실제로 실행 가능한지와 핵심 패키지가 정상 설치되었는지 확인하기 위해","Next, React, React DOM 설치 확인 및 개발 서버 실행 기반 확보"
"6","KyuBoard용 기본 패키지 설치","npm install drizzle-orm @neondatabase/serverless zod / npm install -D drizzle-kit","향후 DB 연결, 스키마 관리, 유효성 검사를 위한 기반 도구를 미리 준비하기 위해","Neon, Drizzle, Zod 기반 확장 가능 환경 준비"
"7","환경 파일 및 DB 설정 파일 준비","touch .env.local drizzle.config.ts / mkdir -p lib/db components","DB 연결 정보와 Drizzle 설정, 컴포넌트 구조를 위한 기본 파일/폴더를 준비하기 위해","프로젝트 구조를 기능 개발 가능한 형태로 정리"
"8","보드 레이아웃 1차 구축","npm run dev","4K 크기의 보드 영역과 기본 화면 구조를 먼저 확인하기 위해","3840x2160 보드 영역을 가진 첫 화면 레이아웃 구성 시작"
"9","보드 배경 그리드 적용","npm run dev","좌표 기반 메모 보드 느낌을 시각적으로 바로 드러내기 위해","점선형 그리드 배경이 깔린 보드 화면 확보"
"10","고정 메뉴 레이어 추가","npm run dev","보드가 스크롤되거나 이동해도 좌상단 메뉴는 항상 고정되도록 하기 위해","좌상단 고정형 메뉴/햄버거 버튼 레이어 구성"
"11","메모 카드 컴포넌트 분리","mkdir -p components / touch components/MemoCard.tsx","보드 위 요소를 페이지 파일에서 분리하고 이후 재사용 가능한 메모 컴포넌트 구조를 만들기 위해","MemoCard 컴포넌트 파일 생성 및 page.tsx에서 import 구조 도입"
"12","정적 메모 카드 렌더링","npm run dev","DB 연결 전에도 메모가 보드 위에 어떤 식으로 배치될지 먼저 확인하기 위해","첫 정적 메모 카드가 보드 위에 렌더링됨"
"13","클라이언트 인터랙션 도입","npm run build / npm run dev","햄버거 메뉴 열림/닫힘처럼 useState 기반 인터랙션을 쓰기 위해","page.tsx를 Client Component로 전환하고 메뉴 토글 구조 적용"
"14","초기 오류 진단 및 원인 파악","npm run build","컴포넌트 export/import 문제, use client 누락, dev 서버 반영 문제를 분리해서 확인하기 위해","MemoCard 빈 파일 문제, useState 사용 위치 문제, dev 서버 재실행 필요성 등을 확인"
"15","메뉴 버튼 클릭 구조 검증","npm run dev","보이는 메뉴 버튼과 실제 클릭 영역이 일치하는지 확인하기 위해","버튼을 감싸는 div와 실제 button의 클릭 영역 차이가 UX 문제를 만든다는 점을 파악"
"16","현재 개발 방향 재정리","대화 기반 설계 정리","메뉴 기능보다 메모 데이터와 메모 카드 구조가 먼저라는 우선순위를 확정하기 위해","다음 단계는 Memo 데이터 구조 정의, 정적 메모 다건 렌더링, 이후 CRUD/DB 연결로 정리됨"
